Date,AQI
01-01-2017,345
02-01-2017,337
03-01-2017,331
04-01-2017,381
05-01-2017,321
06-01-2017,351
07-01-2017,278
08-01-2017,288
09-01-2017,308
10-01-2017,247
11-01-2017,280
12-01-2017,323
13-01-2017,326
14-01-2017,384
15-01-2017,326
16-01-2017,355
17-01-2017,245
18-01-2017,317
19-01-2017,300
20-01-2017,216
21-01-2017,286
22-01-2017,365
23-01-2017,309
24-01-2017,336
25-01-2017,366
26-01-2017,324
27-01-2017,118
28-01-2017,212
29-01-2017,211
31-01-2017,366
01-02-2017,273
02-02-2017,327
03-02-2017,314
04-02-2017,336
05-02-2017,260
06-02-2017,306
07-02-2017,148
08-02-2017,254
09-02-2017,268
10-02-2017,249
11-02-2017,239
12-02-2017,274
13-02-2017,279
14-02-2017,303
15-02-2017,294
16-02-2017,284
17-02-2017,294
18-02-2017,236
19-02-2017,237
20-02-2017,243
21-02-2017,254
22-02-2017,236
23-02-2017,182
24-02-2017,226
25-02-2017,208
26-02-2017,256
27-02-2017,226
28-02-2017,266
01-03-2017,290
02-03-2017,258
03-03-2017,141
04-03-2017,173
05-03-2017,200
06-03-2017,177
07-03-2017,197
08-03-2017,194
10-03-2017,90
11-03-2017,68
12-03-2017,104
13-03-2017,150
14-03-2017,123
15-03-2017,214
16-03-2017,207
17-03-2017,226
18-03-2017,185
19-03-2017,222
20-03-2017,241
21-03-2017,251
22-03-2017,242
23-03-2017,246
24-03-2017,244
25-03-2017,197
26-03-2017,177
27-03-2017,164
28-03-2017,218
30-03-2017,151
31-03-2017,176
01-04-2017,223
02-04-2017,177
03-04-2017,154
04-04-2017,165
05-04-2017,108
06-04-2017,109
07-04-2017,351
08-04-2017,269
09-04-2017,130
10-04-2017,144
11-04-2017,162
12-04-2017,201
13-04-2017,282
14-04-2017,290
15-04-2017,307
16-04-2017,291
17-04-2017,276
18-04-2017,307
19-04-2017,262
20-04-2017,221
21-04-2017,234
22-04-2017,244
23-04-2017,193
24-04-2017,164
25-04-2017,189
26-04-2017,153
28-04-2017,183
29-04-2017,190
30-04-2017,186
01-05-2017,158
02-05-2017,240
03-05-2017,297
04-05-2017,214
05-05-2017,332
06-05-2017,284
07-05-2017,293
08-05-2017,278
09-05-2017,259
10-05-2017,187
11-05-2017,218
12-05-2017,365
13-05-2017,316
14-05-2017,284
15-05-2017,248
16-05-2017,272
17-05-2017,183
18-05-2017,235
19-05-2017,239
20-05-2017,221
21-05-2017,339
22-05-2017,228
23-05-2017,222
24-05-2017,224
25-05-2017,196
26-05-2017,250
27-05-2017,197
28-05-2017,136
29-05-2017,130
30-05-2017,162
31-05-2017,126
01-06-2017,200
02-06-2017,220
03-06-2017,215
04-06-2017,237
05-06-2017,204
06-06-2017,204
07-06-2017,126
08-06-2017,103
09-06-2017,141
10-06-2017,177
11-06-2017,118
12-06-2017,125
13-06-2017,139
14-06-2017,182
15-06-2017,231
16-06-2017,154
17-06-2017,100
18-06-2017,117
19-06-2017,210
20-06-2017,89
21-06-2017,102
22-06-2017,124
23-06-2017,148
24-06-2017,159
25-06-2017,195
26-06-2017,160
27-06-2017,135
28-06-2017,102
29-06-2017,92
30-06-2017,76
01-07-2017,114
02-07-2017,102
03-07-2017,97
07-07-2017,108
08-07-2017,93
09-07-2017,148
10-07-2017,117
11-07-2017,93
12-07-2017,62
13-07-2017,71
14-07-2017,64
15-07-2017,79
16-07-2017,90
17-07-2017,95
18-07-2017,100
19-07-2017,106
20-07-2017,88
21-07-2017,69
22-07-2017,55
23-07-2017,71
24-07-2017,60
25-07-2017,68
26-07-2017,63
27-07-2017,75
28-07-2017,70
29-07-2017,96
30-07-2017,43
31-07-2017,48
24-08-2017,116
25-08-2017,141
26-08-2017,114
27-08-2017,104
28-08-2017,70
29-08-2017,68
30-08-2017,77
31-08-2017,92
01-09-2017,69
02-09-2017,65
03-09-2017,80
04-09-2017,106
05-09-2017,91
06-09-2017,86
07-09-2017,82
08-09-2017,152
09-09-2017,125
10-09-2017,154
11-09-2017,149
12-09-2017,118
